Title,Image URL,Description
Fuera de la ley,https://es.web.img3.acsta.net/c_310_420/img/8f/eb/8feb3145fe7a1719394d2fafaa9c37f5.jpg,"Will y Terry, dos policías de un tranquilo pueblo, descubren un millón de dólares, lo que desata el caos en la comunidad. La codicia de los excéntricos habitantes los lleva a tomar decisiones cada vez más peligrosas e ilegales, mientras los agentes luchan por manejar la situación. El pueblo, antes pacífico y tranquilo, se convierte en un hervidero de traiciones, malentendidos y caos desenfrenado. Entre giros inesperados y humor negro, la historia revela cómo la ambición desmedida puede desmoronar los cimientos de cualquier sociedad."
El padrino,https://es.web.img3.acsta.net/c_310_420/pictures/18/06/12/12/12/0117051.jpg?coixp=49&coiyp=27,"En el verano de 1945, se celebra la boda de Connie (Talia Shire) y Carlo Rizzi (Gianni Russo). Connie es la única hija de Don Vito Corleone (Marlon Brando), jefe de una de las familias que ejercen el mando de la Cosa Nostra en la ciudad de Nueva York. Don Vito además tiene otros tres hijos: su primogénito Sonny (James Caan), el endeble Fredo (John Cazale) y el más joven se todos, Michael (Al Pacino), un marine condecorado por su lucha en la Segunda Guerra Mundial que acaba de regresar a su hogar en Nueva York. Por designios de la fortuna, Michael terminará llevando la vida que no deseaba, tomando las riendas del negocio familiar, cambiando su moral y sus valores, para defender a toda costa a su familia."
Bastion 36,https://es.web.img2.acsta.net/c_310_420/img/b1/19/b119bc5259bb53bd3ea9331aae5b0927.jpg,"Antoine Cerda es un experimentado policía de una unidad de élite de París, pero ahora es trasladado a la Inspección General de la Policía Nacional francesa y tiene que dar la espalda a sus antiguos compañeros de la unidad, dirigida por el carismático Sami Belkaïm. Un año más tarde, dos miembros de su antigua unidad son asesinados repentinamente en 24 horas. Cuando desaparece un tercer miembro, Antoine decide investigar por su cuenta. Cuando sus pesquisas descubren enconadas rivalidades en el seno de la policía, se ve inmerso en una terrible espiral descendente."
The Order,https://es.web.img3.acsta.net/c_310_420/img/de/4d/de4d5888ded56af0595f812cc5fd4130.jpg,"En 1983, una serie de atracos a bancos cada vez más violentos, falsificaciones de moneda y atracos con furgones blindados infunden el miedo en las comunidades del noroeste del Pacífico. Mientras las fuerzas del orden desconcertadas buscan respuestas, el solitario agente del FBI Terry Husk (Jude Law), destinado en la tranquila ciudad de Coeur d'Alene (Idaho), se convence de que los crímenes no son obra de delincuentes tradicionales con motivaciones económicas, sino de un grupo de peligrosos terroristas autóctonos. Dirigida por el radical y carismático líder Bob Mathews (Nicholas Hoult), la hermandad silenciosa planea una guerra devastadora contra el gobierno estadounidense."
El silencio de los corderos,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/74/29/15/19757760.jpg,"Esta película de suspense nos lleva a vivir una terrorífica historia que comienza con una serie de asesinatos de unas adolescentes en Alabama. Clarisse (Jodie Foster), una joven policía con un currículum intachable, sigue la pista del criminal para poder localizarle. Para ello pide ayuda a Hannibal Lecter (Anthony Hopkins), un sádico psiquiatra que se encuentra encarcelado en una prisión de gran seguridad."
Sin Nombre,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/72/09/61/19180957.jpg,"El destino de dos jóvenes con vidas muy diferentes se verá unido en una estación ferroviaria. Ellos son Casper (Edgar Flores) un adolescente mexicano, miembro de una banda de adolescentes llamada Mara Salvatrucha y Sayra, una joven hondureña que se dispone a viajar con su familia."
Una historia del Bronx,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/68/09/19/20373248.jpg,"Sonny (Chazz Palminteri) es un peligroso gángster del Bronx. En el mismo lugar vive Calogero (Lillo Brancato), un joven de 17 años que ve con sus propios ojos un sangriento tiroteo protagonizado por los hombres de Sonny. Desde ese momento, Sonny se erige como el amigo que Calogero siempre había deseado tener, lo que provoca la entrada del joven en el mundo de la mafia neoyorquina. Sin embargo, Lorenzo (Robert De Niro), padre de Calogero, no cree que ese mafioso sea la mejor compañía para su hijo. Aunque el niño apenas conoce el mundo en el que está metido su amigo Sonny, llegará el momento en el que tendrá que elegir el camino a seguir: o el camino honrado por el que su padre siempre ha peleado o el sendero criminal que ha conocido gracias a su amigo Sonny. Ópera prima de Robert de Niro que desde la primera secuencia recuerda al cine de su amigo Martin Scorsese. El filme lo protagonizaron el propio De Niro ('Uno de los nuestros'), Chazz Palminteri ('Legend'), Lillo Brancato ('Marea Roja'), Francis Capra ('El hada novata') y Joe Pesci ('Solo en casa')."
Rosario Tijeras,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/91/85/16/20166279.jpg,"Emilio es un hombre que nunca se implica con ninguna mujer, solo se limita a tener relaciones sexuales y Antonio es todo lo contrario, mucho más sensato y respetuoso. La vida de ambos cambia cuando conocen a Rosario una mujer que centra su vida en vengar la muerte de su hermano Jonhefe y en escapar de sus peligrosos enemigos del pasado."
Ciudad de Dios,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/68/09/00/20071863.jpg,"En una favela de Río de Janeiro, en los años sesenta, “Buscapé” es un niño negro, pobre, demasiado frágil para ser un delincuente, pero demasiado listo para contentarse con un trabajo mal pagado. Ha crecido en un entorno violento, pero intenta ver la realidad de otro modo, con los ojos de un artista. Sueña con convertirse en fotógrafo profesional.“Dadinho”, un niño de once años, se acaba de mudar a la Ciudad. Él, en cambio, desea convertirse en el mayor criminal de Río y comienza su aprendizaje haciendo pequeños trabajos para la mafia local. Admira a “Cabeleira” y a su banda, que asaltan los camiones y roban todo lo que pillan. “Cabeleira” le ofrece a “Dadinho” la ocasión de cometer un asesinato, que será el primero de una larga lista…"
El Secreto de Sus Ojos,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/72/09/92/19153236.jpg,"Benjamin Espósito (Ricardo Darín) se ha retirado recientemente de su cargo en el Juzgado de lo Penal. Con bastante tiempo libre, ahora se dedica a escribir un libro. Benjamin utiliza su experiencia para contar una historia trágica que ocurrió en 1974. En aquella época el Departamento de Justicia para el que trabajaba, fue designado para investigar la violación y posterior asesinato de una joven. Gracias a ello, Benjamin puede ponerse en contacto con Ricardo Morales (Pablo Rago), marido de la fallecida y a quien promete ayudar a encontrar al culpable. Para su labor de investigación, cuenta con la ayuda de su gran amigo, Pablo Sandoval (Guillermo Francella), y de su jefa, Irene Menéndez Hastings (Soledad Villamil). Benjamin acaba más involucrado de lo que creía en el relato."
