Title,Link,Image URL
1992,https://www.sensacine.com/series/serie-34448/video-20612358/,https://es.web.img3.acsta.net/c_310_420/pictures/23/07/10/14/24/5607281.jpg
Ley y orden: Unidad de víctimas especiales,https://www.sensacine.com/series/serie-74/video-19559700/,https://es.web.img2.acsta.net/c_310_420/pictures/14/02/07/12/04/285360.jpg
Élite,https://www.sensacine.com/series/serie-22373/video-19559650/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Peaky Blinders,https://www.sensacine.com/series/serie-11303/video-19534849/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Crimen en el paraíso,https://www.sensacine.com/series/serie-9247/video-19361062/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
True Detective,https://www.sensacine.com/series/serie-11058/video-19552540/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Chicago PD,https://www.sensacine.com/series/serie-12091/video-19556266/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Mentes criminales,https://www.sensacine.com/series/serie-443/video-19564112/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Rookie,https://www.sensacine.com/series/serie-22917/video-19560048/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El Marginal,https://www.sensacine.com/series/serie-20458/video-19552773/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
S.W.A.T. Los hombres de Harrelson,https://www.sensacine.com/series/serie-21058/video-19553836/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
NAVY: Investigación criminal,https://www.sensacine.com/series/serie-133/video-19563022/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Blue Bloods (Familia de policías),https://www.sensacine.com/series/serie-8209/video-19206434/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
