Title,Image URL,Description
La chica de nieve,https://es.web.img2.acsta.net/c_310_420/pictures/23/01/18/14/16/2286681.jpg,
Ley y orden: Unidad de víctimas especiales,https://es.web.img2.acsta.net/c_310_420/pictures/14/02/07/12/04/285360.jpg,
Élite,https://es.web.img3.acsta.net/c_310_420/pictures/18/09/11/09/24/3649571.jpg,
Peaky Blinders,https://es.web.img2.acsta.net/c_310_420/pictures/15/10/23/08/59/222051.jpg?coixp=45&coiyp=64,
The Rookie,https://es.web.img3.acsta.net/c_310_420/pictures/18/05/16/09/29/5203734.jpg,
Reacher,https://es.web.img2.acsta.net/c_310_420/pictures/21/12/03/10/38/4833003.jpg,
High Potential,https://es.web.img2.acsta.net/c_310_420/img/93/90/9390c6e975c9ebd03b5729d9e959dda9.jpg,
Chicago PD,https://es.web.img3.acsta.net/c_310_420/pictures/15/09/24/09/51/514754.jpg,
True Detective,https://es.web.img3.acsta.net/c_310_420/pictures/14/01/17/13/00/493022.jpg,
Bright Minds,https://es.web.img3.acsta.net/c_310_420/pictures/19/03/21/16/47/4408459.jpg,
S.W.A.T. Los hombres de Harrelson,https://es.web.img3.acsta.net/c_310_420/pictures/17/05/17/17/04/361994.jpg,
El Marginal,https://es.web.img2.acsta.net/c_310_420/pictures/17/02/20/08/59/547853.jpg,
NAVY: Investigación criminal,https://es.web.img3.acsta.net/c_310_420/pictures/14/02/21/12/35/496849.jpg,
Justified: La Ley de Raylan,https://es.web.img3.acsta.net/c_310_420/pictures/14/04/01/12/14/467030.jpg,
Shetland,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/96/66/98/20482429.jpg,
Justified: La Ley de Raylan,https://es.web.img3.acsta.net/c_310_420/pictures/14/04/01/12/14/467030.jpg,
El Mentalista,https://es.web.img3.acsta.net/c_310_420/pictures/15/09/24/09/46/407839.jpg,
Crimen en el paraíso,https://es.web.img3.acsta.net/c_310_420/pictures/15/08/25/13/33/099067.jpg,
Mentes criminales,https://es.web.img3.acsta.net/c_310_420/pictures/14/02/14/13/31/367985.jpg,
El Cartel de los Sapos - El Origen,https://es.web.img2.acsta.net/c_310_420/pictures/21/07/01/14/21/0469400.jpg,El Cartel de los Sapos: El origen es una serie thrillerque se ambienta en la Cali de los años 60 y 70 donde dos hermanos compaginan la familia con el amor y su ambición compartida: controlar el mercado de la droga de Colombia.
CSI: Miami,https://es.web.img3.acsta.net/c_310_420/pictures/14/02/28/13/09/430561.jpg,"Tras el éxito abrumador de la receta usada por 'CSI: Las Vegas' era de esperar que tuviera lugar algún 'spin-off'. 'CSI: Miami' es la primera de estas secuelas y viene también de manos del creador de la serie original Anthony E. Zuiker, que esta vez forma equipo con la creadora Carol Mendelshon. La producción continúa a cargo de Jerry Bruckheimer ('Sin rastro', 'Pearl Harbor', 'Piratas del Caribe', 'Armageddon')."
The Wire,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/82/01/05/20042801.jpg,
Wayward Pines,https://es.web.img3.acsta.net/c_310_420/pictures/15/02/20/10/30/426830.jpg,
ACI: Alta Capacidad Intelectual,https://es.web.img3.acsta.net/c_310_420/pictures/21/04/07/11/14/5145026.jpg,"ACI: Alta Capacidad Intelectual es una serie crimen comedia que sigue la historia de Morgane Alvaro, una madre soltera con tres hijos de dos padres diferentes que nació con alto potencial intelectual. Es mentalmente superior a muchas personas pero socialmente es muy torpe. La única persona con la que se lleva bien es su vecino Henri de 75 años."
Cormoran Strike: Sangre turbia,https://es.web.img3.acsta.net/c_310_420/pictures/22/06/02/22/52/4008872.jpg,
Hijos de la anarquía,https://es.web.img3.acsta.net/c_310_420/pictures/13/12/04/17/21/233473.jpg,
Narcos,https://es.web.img3.acsta.net/c_310_420/pictures/15/07/29/14/33/086520.jpg,
